,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2461070.9493634,180.6108519,50.9919153,2,19.417129516601562,0.20984326303005219,61070.44936340023
6,2461068.8664815,180.6108328,50.9918889,2,19.43120002746582,0.1422249972820282,61068.36648150021
8,2461065.9533102,180.6108132,50.9918644,2,19.34269905090332,0.13509200513362885,61065.45331020001
11,2461065.8716782,180.6107229,50.9919084,2,19.135799407958984,0.14057199656963348,61065.371678200085
12,2461060.9549306,180.6108181,50.99187,2,19.057100296020508,0.09573200345039368,61060.45493059978
13,2461060.9518287,180.6107687,50.9918638,2,19.218399047851562,0.10954000055789948,61060.451828700025
14,2461060.9234954,180.6108617,50.9918589,1,19.993099212646484,0.14229899644851685,61060.42349540023
15,2461060.9097917,180.6107357,50.9918006,1,20.47719955444336,0.262923002243042,61060.409791700076
16,2461058.9694329,180.6107919,50.9918711,2,19.033899307250977,0.1130400002002716,61058.469432900194
17,2461058.9250231,180.610865,50.9919077,1,20.013200759887695,0.28044700622558594,61058.42502309987
18,2461058.9023032,180.6106597,50.9918649,1,19.858999252319336,0.15822499990463257,61058.402303200215
19,2461058.8429514,180.6107414,50.9918236,2,19.053499221801758,0.10972300171852112,61058.342951400205
20,2461057.0679745,180.6107915,50.991795,1,20.028099060058594,0.27158498764038086,61056.56797449989
21,2461057.067037,180.6103761,50.9916232,1,19.96030044555664,0.2569519877433777,61056.567036999855
23,2461056.9473495,180.6108418,50.9918427,2,18.881200790405273,0.09559699892997742,61056.44734949991
24,2461056.9320023,180.6106732,50.9918466,2,19.039899826049805,0.10266000032424927,61056.43200229993
25,2461054.9512153,180.6109181,50.9917209,1,19.665599822998047,0.1631300002336502,61054.45121529978
26,2461054.9507407,180.6105996,50.991753,1,19.770299911499023,0.18064099550247192,61054.45074070012
27,2461054.9061574,180.6108892,50.9918381,2,18.943300247192383,0.12422399967908859,61054.40615739999
28,2461054.8513657,180.610772,50.9918222,2,18.8971004486084,0.12397799640893936,61054.3513656999
29,2461052.9482986,180.6107779,50.9919544,2,18.73550033569336,0.11786100268363953,61052.44829860004
30,2461052.9478241,180.6110662,50.9918584,2,18.854900360107422,0.12049300223588943,61052.44782410003
31,2461052.9096644,180.6109166,50.9918376,1,19.52669906616211,0.2503030002117157,61052.40966439992
32,2461052.8950347,180.610431,50.9917363,1,19.48550033569336,0.18529100716114044,61052.39503470017
34,2461051.0163426,180.6107242,50.9919727,2,18.733600616455078,0.10649999976158142,61050.516342599876
35,2461050.919456,180.6106489,50.9920059,1,18.983800888061523,0.19626100361347198,61050.419455999974
36,2461049.9992361,180.6109015,50.9919121,2,18.880699157714844,0.15401999652385712,61049.49923609989
37,2461049.9223148,180.6107087,50.9918316,1,19.278200149536133,0.17426300048828125,61049.42231479986
38,2461039.0504861,180.6106861,50.9917961,1,18.461999893188477,0.07826600223779678,61038.550486099906
39,2461038.991331,180.6106981,50.9919331,2,18.227699279785156,0.0736050009727478,61038.49133099988
40,2461037.9882986,180.6108809,50.9918306,1,18.392000198364258,0.10790400207042694,61037.488298600074
41,2461037.9420255,180.6108122,50.991823,2,18.360300064086914,0.11483100056648254,61037.442025499884
42,2461032.0333796,180.6106977,50.9918675,2,18.221900939941406,0.126910001039505,61031.53337959992
43,2461031.958287,180.610707,50.991831,1,18.190399169921875,0.056373998522758484,61031.45828700019
44,2461031.0109606,180.6108012,50.9918601,2,18.23579978942871,0.06473299860954285,61030.51096059987
45,2461030.9753009,180.6107823,50.991846,1,18.18280029296875,0.06999500095844269,61030.47530090017
46,2461030.0409954,180.6107339,50.9918393,2,18.252500534057617,0.0649849995970726,61029.54099539993
47,2461029.9869792,180.6106546,50.9918174,1,18.1914005279541,0.06213400140404701,61029.48697920004
48,2461028.0358218,180.6107824,50.9918631,2,18.240299224853516,0.09861499816179276,61027.53582180012
49,2461028.0158102,180.6107018,50.9918308,2,18.329099655151367,0.07911600172519684,61027.51581020001
50,2461027.9987153,180.6106713,50.9918043,1,18.24410057067871,0.07797099649906158,61027.49871530011
51,2461027.9637269,180.6107626,50.9918392,1,18.19930076599121,0.06644099950790405,61027.46372690005
52,2461025.9866088,180.6107889,50.9918683,2,18.398099899291992,0.08266499638557434,61025.48660880001
54,2461025.9281944,180.6108332,50.9918496,1,18.23870086669922,0.06765499711036682,61025.42819439992
55,2461023.0398727,180.6108088,50.9918565,1,18.56559944152832,0.08754800260066986,61022.53987269988
56,2461023.0173495,180.6107918,50.9918583,2,18.654399871826172,0.07209199666976929,61022.51734950021
57,2461022.9253704,180.6107309,50.9917962,1,18.858200073242188,0.12101099640130997,61022.42537039984
58,2461021.0316667,180.6107601,50.9918735,1,18.845800399780273,0.09600500017404556,61020.5316666998
59,2461021.0106829,180.6108057,50.9918518,2,19.03059959411621,0.07688699662685394,61020.51068289997
