,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2461031.6027894,13.0329198,8.2484551,1,20.18830680847168,0.2148788869380951,61031.102789400145
1,2461029.6298727,13.0328978,8.2484596,2,19.968799591064453,0.14076000452041626,61029.1298727002
2,2461029.6293981,13.033011,8.2484257,2,19.750099182128906,0.15950100123882294,61029.12939810008
3,2461029.6236458,13.0330988,8.2484703,1,20.125999450683594,0.24269400537014008,61029.123645800166
4,2461029.6231713,13.0329899,8.248449,1,20.241300582885742,0.21420399844646454,61029.12317130016
5,2461027.6752199,13.0328842,8.248455,1,19.75819969177246,0.15460099279880524,61027.175219899975
6,2461027.6747569,13.0329655,8.2485043,1,19.983299255371094,0.2184319943189621,61027.17475689994
7,2461027.6550347,13.0329217,8.2484064,2,19.792400360107422,0.1645449995994568,61027.15503469994
9,2461025.6754861,13.0330347,8.2484919,1,19.741899490356445,0.1779859960079193,61025.175486099906
11,2461023.6447454,13.0331214,8.2483108,1,19.55970001220703,0.2588219940662384,61023.144745400175
12,2461021.6737269,13.0329509,8.2483976,2,19.671199798583984,0.1395229995250702,61021.173726900015
13,2461021.6732523,13.0329818,8.2485076,2,19.624399185180664,0.16485999524593353,61021.173252299894
14,2461021.6660648,13.0329816,8.2484726,1,19.83209991455078,0.13774900138378143,61021.16606480023
