,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2461038.8173611,119.1901228,1.834911,2,19.543331146240234,0.1494511067867279,61038.31736110011
1,2461031.8774769,119.1902238,1.8349069,2,19.37420082092285,0.11665699630975723,61031.377476899885
2,2461031.8358681,119.1902459,1.8348953,1,19.505399703979492,0.10879900306463242,61031.33586810017
3,2461029.9039699,119.190219,1.8349229,2,19.491899490356445,0.11398100107908249,61029.40396990022
4,2461029.7887384,119.1902193,1.8349606,1,19.51219940185547,0.12603500485420227,61029.28873840021
5,2461026.9645833,119.1902655,1.8349098,2,19.530500411987305,0.19625499844551086,61026.464583300054
6,2461026.9209606,119.1902229,1.8349346,1,19.44890022277832,0.12928900122642517,61026.42096060002
7,2461024.9222454,119.1902296,1.8349636,1,19.58810043334961,0.14655199646949768,61024.42224540003
8,2461024.8786574,119.1902349,1.8349107,2,19.615100860595703,0.15054400265216827,61024.37865740014
9,2461021.9388194,119.1902093,1.8348728,2,19.900999069213867,0.16380999982357025,61021.438819400035
10,2461021.8298495,119.1902692,1.8349604,1,19.911399841308594,0.1605129987001419,61021.32984950021
11,2461020.9412731,119.19021,1.8349609,2,20.127099990844727,0.16870899498462677,61020.44127310021
12,2461020.8764815,119.1901109,1.8348995,1,19.992000579833984,0.22253599762916565,61020.37648149999
