,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2461076.9451505,163.7796431,51.6629599,2,18.629098892211914,0.09008631110191345,61076.44515050016
1,2461076.9269676,163.7796681,51.6630029,2,18.656200408935547,0.09126999974250793,61076.426967599895
2,2461076.8883912,163.7796996,51.6629543,1,18.734399795532227,0.12208099663257599,61076.38839119999
3,2461076.6845023,163.7796269,51.6629486,1,18.89299964904785,0.15422900021076202,61076.184502299875
4,2461074.9409838,163.7796752,51.6630478,1,18.689599990844727,0.11512699723243713,61074.44098380022
6,2461074.8746644,163.7797647,51.6629709,2,18.60610008239746,0.11337199807167053,61074.37466439977
7,2461074.8521065,163.7797084,51.6630139,2,18.614599227905273,0.1291400045156479,61074.35210649995
9,2461072.9302083,163.7798124,51.662957,1,18.928199768066406,0.18752700090408325,61072.430208299775
10,2461072.8388773,163.7795352,51.6629427,2,18.62190055847168,0.14346900582313538,61072.3388772998
11,2461072.8379398,163.7795761,51.6629394,2,18.661399841308594,0.16742399334907532,61072.33793980023
12,2461070.9183102,163.7797574,51.6629944,2,18.627599716186523,0.1333959996700287,61070.418310199864
13,2461070.9152315,163.7797021,51.662977,2,18.615999221801758,0.10576499998569489,61070.41523149982
14,2461070.8866319,163.7796887,51.6629668,1,18.77829933166504,0.13283300399780273,61070.38663189998
15,2461070.8026042,163.7797381,51.6629579,1,18.752599716186523,0.14630499482154846,61070.30260419985
16,2461068.9549421,163.7796716,51.662978,1,18.76959991455078,0.07715000212192535,61068.454942100216
17,2461068.9525694,163.7796383,51.6629846,1,18.8080997467041,0.09165800362825394,61068.45256939996
20,2461065.9523495,163.7796961,51.6629909,2,18.587499618530273,0.06587100028991699,61065.4523494998
21,2461065.8824421,163.7797048,51.6630129,1,18.75469970703125,0.0724639967083931,61065.38244209997
22,2461065.8790972,163.779648,51.6629695,1,18.698699951171875,0.07416100054979324,61065.3790972
23,2461065.8681134,163.7796824,51.6629768,2,18.58679962158203,0.07099100202322006,61065.36811339995
24,2461060.9259144,163.7796918,51.6629911,1,18.674400329589844,0.07111400365829468,61060.42591439979
25,2461060.8907986,163.779667,51.6629871,1,18.78070068359375,0.0741489976644516,61060.390798599925
26,2461060.825,163.7796856,51.6629813,2,18.63010025024414,0.07954800128936768,61060.325000000186
27,2461060.8240625,163.7797166,51.6629902,2,18.6028995513916,0.07902300357818604,61060.32406250015
28,2461058.9101042,163.7796756,51.6629917,1,18.6968994140625,0.09325599670410156,61058.41010419978
29,2461058.8897106,163.7796783,51.6629678,1,18.796100616455078,0.09041599929332733,61058.38971060002
30,2461058.8459144,163.7797004,51.6629863,2,18.631999969482422,0.07870300114154816,61058.34591440018
31,2461058.8292477,163.7796809,51.662999,2,18.654600143432617,0.12305600196123123,61058.32924770005
32,2461057.0797222,163.7797345,51.6629899,1,18.735300064086914,0.13540899753570557,61056.579722200055
33,2461056.9296181,163.7797083,51.6629759,2,18.746599197387695,0.09097299724817276,61056.42961810017
34,2461056.8932986,163.7796431,51.6629762,1,18.69179916381836,0.08617100119590759,61056.39329859987
