,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2461076.9471528,180.0092365,43.1234092,2,19.847597122192383,0.20842894911766052,61076.44715279993
6,2461074.892581,180.0094047,43.1235121,2,19.688600540161133,0.21943899989128113,61074.39258099999
12,2461070.9488889,180.0092929,43.1234476,2,19.519800186157227,0.15713299810886383,61070.448888900224
16,2461068.9445602,180.0091976,43.1236432,1,20.566200256347656,0.3858189880847931,61068.444560199976
17,2461068.8640625,180.0091911,43.1234128,2,19.71190071105957,0.1646209955215454,61068.364062500186
18,2461068.8640625,180.0091911,43.1234128,2,19.71190071105957,0.1646209955215454,61068.364062500186
19,2461068.8626505,180.0092897,43.1233508,2,19.768199920654297,0.21679499745368958,61068.362650500145
20,2461065.9504282,180.0091723,43.1233425,2,19.62929916381836,0.143885999917984,61065.450428199954
21,2461065.9093287,180.0093968,43.1234257,1,20.687700271606445,0.27656498551368713,61065.40932870004
23,2461060.9760532,180.0092719,43.1234048,2,19.494400024414062,0.10753200203180313,61060.4760532002
24,2461060.9554051,180.0092564,43.1233957,2,19.46969985961914,0.10149700194597244,61060.45540509978
25,2461060.9230208,180.0092429,43.1234367,1,20.246200561523438,0.18431200087070465,61060.42302080011
26,2461060.9102662,180.0092622,43.1233967,1,20.149499893188477,0.21000699698925018,61060.41026620008
27,2461058.9753704,180.0092765,43.1233872,2,19.205299377441406,0.11163400113582611,61058.47537040012
28,2461058.9236111,180.0091807,43.123393,1,20.38290023803711,0.2524639964103699,61058.42361109983
29,2461058.9018287,180.0092288,43.1233185,1,20.259700775146484,0.22631199657917023,61058.40182870021
30,2461058.8415394,180.0092235,43.1233849,2,19.433500289916992,0.14671500027179718,61058.341539400164
31,2461057.066088,180.0092236,43.1234027,1,20.120500564575195,0.23956100642681122,61056.56608799985
32,2461056.9791319,180.0093041,43.1233652,1,20.1830997467041,0.1898149996995926,61056.479131899774
33,2461056.9459144,180.0092306,43.1234213,2,19.22610092163086,0.11052100360393524,61056.44591439981
34,2461056.9345602,180.0092355,43.1234035,2,19.244400024414062,0.08425299823284149,61056.4345602002
35,2461054.9531019,180.0093337,43.1233703,1,20.015100479125977,0.19032999873161316,61054.45310189994
36,2461054.9526273,180.009133,43.1233856,1,19.753599166870117,0.15660500526428223,61054.45262729982
37,2461054.9155903,180.0093308,43.1233876,2,19.133100509643555,0.10363200306892395,61054.415590300225
38,2461054.9141782,180.0091891,43.1233737,2,19.22369956970215,0.09697400033473969,61054.414178200066
40,2461052.914456,180.0091476,43.1234323,1,19.86949920654297,0.252144992351532,61052.414456000086
41,2461051.0275116,180.0090599,43.1234564,2,18.799699783325195,0.24012799561023712,61050.52751159994
42,2461051.0158681,180.0091772,43.1233849,2,19.18829917907715,0.202674001455307,61050.51586809987
43,2461039.0524074,180.0092382,43.1233992,1,18.86910057067871,0.10990100353956223,61038.55240740022
44,2461039.0509491,180.0091331,43.123335,1,18.865400314331055,0.12467899918556213,61038.55094909994
45,2461038.9936921,180.0092611,43.1233544,2,18.763999938964844,0.09409400075674057,61038.49369210005
46,2461038.9922801,180.0091722,43.1233606,2,18.720500946044922,0.09777099639177322,61038.49228010001
48,2461032.0314931,180.0092553,43.1234397,2,19.00320053100586,0.08990199863910675,61031.53149309987
49,2461031.9969329,180.0092609,43.1234116,1,19.033100128173828,0.10629700124263763,61031.496932900045
50,2461031.9673958,180.0092169,43.1233705,1,19.09269905090332,0.10556499660015106,61031.467395800166
51,2461030.0520255,180.0092906,43.1234371,2,19.360700607299805,0.1306540071964264,61029.55202550022
52,2461030.0414583,180.0091963,43.1233877,2,19.315000534057617,0.0764480009675026,61029.54145829985
53,2461030.013912,180.0092605,43.1234069,1,19.24530029296875,0.10569500178098679,61029.51391200023
54,2461029.9865046,180.0091653,43.1233636,1,19.339599609375,0.11984200030565262,61029.48650459992
55,2461028.0178935,180.0092462,43.1234167,2,19.709199905395508,0.17327800393104553,61027.51789350016
56,2461028.017419,180.0093089,43.1233772,2,19.44179916381836,0.10823199898004532,61027.517419000156
57,2461027.9954051,180.0091581,43.1233561,1,19.64150047302246,0.13068200647830963,61027.49540509982
58,2461027.9682755,180.0092535,43.1234069,1,19.60540008544922,0.16990600526332855,61027.468275499996
60,2461025.9761458,180.009285,43.1233778,2,20.06170082092285,0.20986999571323395,61025.4761458002
61,2461025.9248148,180.0091992,43.1233545,1,19.904199600219727,0.17900699377059937,61025.4248147998
62,2461025.9056134,180.009253,43.1234121,1,19.84709930419922,0.30048999190330505,61025.40561340004
