,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2461075.7442361,47.7900535,73.7643395,1,15.337944030761719,0.022873012349009514,61075.2442361
1,2461075.7164236,47.7901916,73.7643264,2,13.821100234985352,0.019161999225616455,61075.21642359998
2,2461075.700625,47.7902643,73.7643205,2,13.847900390625,0.01628199964761734,61075.200625000056
3,2461075.664919,47.7902815,73.764339,1,15.365099906921387,0.021643999963998795,61075.16491900012
4,2461073.8074074,47.7901329,73.7643584,1,15.352100372314453,0.027598999440670013,61073.307407400105
5,2461073.7808681,47.7900447,73.7643495,1,15.347299575805664,0.01881299912929535,61073.2808681
6,2461073.6858912,47.7901952,73.7643448,2,13.84469985961914,0.029402000829577446,61073.18589119986
7,2461073.6523495,47.7901342,73.7643517,2,13.821700096130371,0.022453999146819115,61073.152349499986
8,2461071.7480671,47.790085,73.7643225,1,15.366000175476074,0.019439000636339188,61071.24806710007
9,2461071.6999074,47.7901328,73.7643327,2,13.856900215148926,0.022701000794768333,61071.19990740018
10,2461071.6979861,47.7901017,73.764336,2,13.863300323486328,0.009451000019907951,61071.19798609987
11,2461071.6328819,47.7901375,73.764335,1,15.356100082397461,0.026883000507950783,61071.13288189983
12,2461066.8146759,47.7900129,73.7643716,1,15.247200012207031,0.03761399909853935,61066.314675900154
13,2461066.7598264,47.7900369,73.764365,2,14.02970027923584,0.043733999133110046,61066.25982639985
14,2461066.7519444,47.7900366,73.7643502,1,15.388699531555176,0.023654000833630562,61066.251944399904
15,2461061.7829861,47.7901447,73.7643459,2,13.818599700927734,0.02829200029373169,61061.28298609983
16,2461061.7453704,47.7900737,73.7643633,1,15.337800025939941,0.0339369997382164,61061.24537040014
17,2461061.7259722,47.7900682,73.76436,1,15.30150032043457,0.03260999917984009,61061.22597219981
18,2461061.6497917,47.7900615,73.7643722,2,13.905799865722656,0.016666000708937645,61061.149791699834
19,2461059.8247338,47.7900146,73.7643617,1,15.351400375366211,0.03186500072479248,61059.32473379979
20,2461059.8241898,47.7900382,73.7643621,1,15.315199851989746,0.028650999069213867,61059.32418979984
21,2461059.7567014,47.7900253,73.7643543,2,13.841300010681152,0.01847199909389019,61059.25670140004
23,2461057.7378009,47.7901025,73.7643459,2,13.871999740600586,0.01474200002849102,61057.23780089989
24,2461057.7045833,47.7900826,73.7643535,1,15.326299667358398,0.022919999435544014,61057.20458329981
25,2461057.686713,47.7899596,73.7643354,1,15.281000137329102,0.03652200102806091,61057.18671299983
26,2461057.6409722,47.7901338,73.764341,2,13.866900444030762,0.013632000423967838,61057.14097219985
27,2461055.7978588,47.7900646,73.7643324,2,13.878499984741211,0.018061000853776932,61055.29785879981
28,2461055.7973148,47.790085,73.7643385,2,13.843700408935547,0.021779000759124756,61055.29731479986
29,2461055.6588426,47.7900807,73.7643573,1,15.357600212097168,0.022048000246286392,61055.15884259995
30,2461055.6578588,47.7900183,73.7643577,1,15.317000389099121,0.02269900031387806,61055.15785880014
31,2461053.8477315,47.7900033,73.7643388,2,13.865300178527832,0.016947999596595764,61053.34773149993
32,2461053.7870023,47.7900508,73.7643572,1,15.34160041809082,0.024078000336885452,61053.28700229991
33,2461053.7841667,47.7899672,73.7643383,1,15.406200408935547,0.0258799996227026,61053.28416670021
34,2461051.8209954,47.7900824,73.7643329,2,13.85420036315918,0.015323000028729439,61051.320995400194
35,2461051.7992477,47.7900609,73.7643537,2,13.845800399780273,0.013686000369489193,61051.29924769979
36,2461051.740625,47.7899958,73.7643674,1,15.359100341796875,0.020968999713659286,61051.24062500009
37,2461051.6998148,47.7899688,73.7643443,1,15.373100280761719,0.025275999680161476,61051.19981480017
38,2461049.747662,47.7900435,73.7643524,2,13.887100219726562,0.015189000405371189,61049.24766199989
39,2461049.6582292,47.7900639,73.764371,1,15.326000213623047,0.026688000187277794,61049.15822920017
41,2461037.8671991,47.7899615,73.7643727,1,15.325400352478027,0.030347000807523727,61037.36719910009
42,2461037.8426852,47.789896,73.7643698,1,15.338700294494629,0.023587999865412712,61037.34268519981
43,2461037.7832176,47.790066,73.7643487,2,13.8326997756958,0.020096000283956528,61037.28321760008
44,2461037.7559954,47.7899766,73.7643819,2,13.847800254821777,0.019272999837994576,61037.255995399784
45,2461031.7802662,47.7899738,73.7644007,1,15.256400108337402,0.024594999849796295,61031.28026620019
46,2461031.6966551,47.7899552,73.7643974,1,15.293899536132812,0.021553000435233116,61031.19665510021
47,2461031.6709954,47.790069,73.7643812,2,13.81980037689209,0.02720700018107891,61031.17099539982
48,2461031.6586227,47.7899661,73.7643955,2,13.830900192260742,0.03154800087213516,61031.15862269979
