,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2461078.0294907,243.9425755,57.8255715,2,19.57164192199707,0.13571803271770477,61077.52949069999
2,2461076.039456,243.9424928,57.82565,2,19.606800079345703,0.18706899881362915,61075.539456000086
6,2461072.0465394,243.9426869,57.8255922,2,19.70009994506836,0.2244109958410263,61071.54653939977
8,2461068.9337037,243.942708,57.8255975,1,19.74720001220703,0.29658201336860657,61068.43370370008
9,2461066.0362153,243.9426712,57.8256539,1,19.737300872802734,0.2246599942445755,61065.536215300206
10,2461065.9770023,243.9425644,57.82563,2,19.44409942626953,0.12948599457740784,61065.47700229986
11,2461061.0516204,243.9426063,57.8255785,1,19.167999267578125,0.10199499875307083,61060.551620400045
12,2461060.9905903,243.9426138,57.8256235,2,19.126100540161133,0.13027499616146088,61060.490590299945
13,2461059.0379398,243.9426243,57.8255997,2,18.962499618530273,0.09862200170755386,61058.53793979995
14,2461058.9530787,243.942631,57.8255707,1,19.150800704956055,0.1268319934606552,61058.45307870023
15,2461057.0336921,243.9426983,57.825575,1,18.907699584960938,0.16155000030994415,61056.533692100085
16,2461057.0115278,243.9426221,57.8255778,2,18.95509910583496,0.11199399828910828,61056.5115278
17,2461055.0560532,243.9426042,57.8255862,2,18.860700607299805,0.10115399956703186,61054.556053199805
18,2461054.9960069,243.9425928,57.8255912,1,18.90239906311035,0.12210100144147873,61054.49600689998
19,2461053.0551968,243.942617,57.8256001,1,18.791000366210938,0.14445100724697113,61052.5551967998
20,2461053.0138194,243.9425448,57.8255619,2,18.788999557495117,0.10843800008296967,61052.51381940022
21,2461050.0489352,243.9424816,57.8252736,1,18.623699188232422,0.18053500354290009,61049.54893520009
24,2461038.0304514,243.9424823,57.8255731,1,19.49799919128418,0.32013601064682007,61037.530451400205
