,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2461077.0432755,239.8589519,56.9605798,1,19.105148315429688,0.17435257136821747,61076.54327550018
1,2461077.0072801,239.8589871,56.9605756,2,19.284299850463867,0.15045799314975739,61076.50728010014
2,2461075.0478241,239.8587053,56.960611,2,19.109800338745117,0.16542500257492065,61074.547824100126
3,2461074.9852315,239.8588262,56.9606427,1,19.334199905395508,0.33820199966430664,61074.48523150012
4,2461073.0440856,239.859072,56.9606186,2,18.978200912475586,0.1396069973707199,61072.54408559995
5,2461072.9666898,239.8589569,56.9607963,1,18.93720054626465,0.2261810004711151,61072.46668979991
6,2461071.0479745,239.8589558,56.9605532,1,19.04599952697754,0.1531350016593933,61070.547974499874
7,2461070.9952662,239.8590459,56.9605495,2,19.006799697875977,0.14720499515533447,61070.49526620004
8,2461068.9366319,239.8589591,56.9606643,1,18.850000381469727,0.1499519944190979,61068.43663189979
9,2461068.9013079,239.858983,56.9606428,2,18.9330997467041,0.14018400013446808,61068.40130789997
10,2461065.9779514,239.8590106,56.9606017,2,18.963300704956055,0.1014849990606308,61065.47795139998
11,2461065.9323843,239.8589688,56.9606133,1,18.91189956665039,0.15276999771595,61065.432384300046
12,2461061.0530787,239.8590134,56.9606309,1,18.88129997253418,0.10144399851560593,61060.55307869986
13,2461060.9915278,239.8590085,56.9606315,2,19.06909942626953,0.0851610004901886,61060.49152779998
14,2461059.0384144,239.8590146,56.9606164,2,19.160900115966797,0.09650199860334396,61058.53841440007
15,2461058.9540278,239.8589724,56.9606618,1,18.99209976196289,0.13481999933719635,61058.45402779989
16,2461057.0536458,239.8589872,56.9606327,1,19.212400436401367,0.13640399277210236,61056.55364579987
17,2461056.9542014,239.8589604,56.9605797,2,19.524700164794922,0.14139799773693085,61056.454201399814
18,2461055.0513079,239.8589855,56.9606384,2,19.682899475097656,0.15056799352169037,61054.55130789988
19,2461054.9751968,239.85903,56.9606054,1,19.30660057067871,0.1719139963388443,61054.475196800195
