,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2461107.631169,77.3610818,-18.3713813,3,18.757978439331055,0.17315460741519928,61107.131169000175
1,2461102.627338,77.3611316,-18.3714151,3,18.49410057067871,0.08668600022792816,61102.12733800011
3,2461100.6502431,77.3611466,-18.3713788,3,18.493200302124023,0.10927999764680862,61100.15024309978
4,2461099.7118287,77.3611615,-18.3713545,1,17.9955997467041,0.09312800318002701,61099.2118286998
5,2461099.671331,77.3611316,-18.3713983,3,18.436500549316406,0.12433300167322159,61099.17133100005
6,2461099.671331,77.3611316,-18.3713983,3,18.436500549316406,0.12433300167322159,61099.17133100005
7,2461099.671331,77.3611316,-18.3713983,3,18.436500549316406,0.12433300167322159,61099.17133100005
8,2461099.6321644,77.3611481,-18.3714085,2,17.85110092163086,0.05474799871444702,61099.13216440007
9,2461098.6707292,77.3611613,-18.3714311,3,18.524700164794922,0.12195099890232086,61098.17072919989
10,2461097.6475694,77.3611431,-18.3713945,3,18.47949981689453,0.09718000143766403,61097.14756939979
11,2461095.6479977,77.3611409,-18.3713944,2,17.969600677490234,0.06527099758386612,61095.14799770014
12,2461095.6296875,77.361153,-18.3713959,1,18.032899856567383,0.06513500213623047,61095.129687500186
13,2461094.706169,77.3611397,-18.3713779,1,18.096799850463867,0.07090800255537033,61094.206168999895
14,2461094.6291435,77.3611339,-18.3714176,2,18.035999298095703,0.05298300087451935,61094.12914349977
15,2461094.6291435,77.3611339,-18.3714176,2,18.035999298095703,0.05298300087451935,61094.12914349977
16,2461093.6491551,77.3611479,-18.3713995,3,18.357900619506836,0.11423800140619278,61093.149155099876
