,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2461132.7440394,121.1808505,-3.4465159,2,19.53783416748047,0.20371074974536896,61132.244039400015
3,2461129.7691435,121.1807058,-3.4465101,2,19.080299377441406,0.21361500024795532,61129.2691434999
9,2461125.7558218,121.1808968,-3.4465075,3,19.535400390625,0.2596459984779358,61125.25582179986
10,2461125.6832407,121.1807966,-3.44648,2,19.23430061340332,0.11640600115060806,61125.18324070005
11,2461125.6432407,121.1807692,-3.4464705,1,20.00349998474121,0.20598100125789642,61125.14324070001
13,2461124.667662,121.1807702,-3.4464695,2,19.067800521850586,0.10938200354576111,61124.16766199982
14,2461123.7021875,121.1807601,-3.4464655,2,19.118999481201172,0.08668799698352814,61123.20218749996
16,2461122.7072569,121.1807923,-3.4464957,2,19.067699432373047,0.09122300148010254,61122.20725690015
17,2461122.6705671,121.1807597,-3.446469,3,19.43560028076172,0.20726199448108673,61122.170567099936
18,2461122.6379977,121.1807455,-3.4464337,1,19.8656005859375,0.15319199860095978,61122.1379976999
20,2461121.6494444,121.1807722,-3.44643,2,18.910400390625,0.1611109972000122,61121.14944439987
22,2461120.6878009,121.1807867,-3.4465345,3,19.39189910888672,0.1490830034017563,61120.18780090008
23,2461119.7085417,121.1807694,-3.4464914,2,19.07659912109375,0.11807399988174438,61119.20854170015
24,2461119.6488889,121.1808045,-3.4464703,1,19.500900268554688,0.1136770024895668,61119.148888899945
25,2461119.6425694,121.1808312,-3.4464782,3,19.58650016784668,0.18439100682735443,61119.142569399904
26,2461118.6694329,121.1807613,-3.4464375,2,18.9960994720459,0.08764900267124176,61118.169432899915
27,2461118.6496759,121.1807608,-3.446442,1,19.407400131225586,0.09330300241708755,61118.14967590012
28,2461117.7910764,121.180767,-3.4464627,2,18.894399642944336,0.1043969988822937,61117.29107639985
29,2461117.6485301,121.1807917,-3.4465296,3,19.667400360107422,0.23444199562072754,61117.14853010001
30,2461116.7314815,121.1807649,-3.4464566,3,19.56329917907715,0.2957800030708313,61116.23148149997
32,2461114.7851852,121.1808853,-3.4463969,3,19.531099319458008,0.21680599451065063,61114.28518520016
34,2461113.7643171,121.1807824,-3.4464575,2,18.791000366210938,0.08121299743652344,61113.264317099936
35,2461113.720463,121.1807701,-3.4464557,1,18.79789924621582,0.08129899948835373,61113.22046299977
37,2461111.7571296,121.1808182,-3.446467,3,19.32200050354004,0.16880099475383759,61111.257129599806
38,2461111.6310417,121.1807547,-3.4464795,2,18.569299697875977,0.06270299851894379,61111.13104170002
40,2461108.7109722,121.1807694,-3.4464379,1,18.493900299072266,0.06756199896335602,61108.21097220015
41,2461108.6878356,121.1807879,-3.4464742,2,18.399799346923828,0.06649199873209,61108.18783560023
42,2461107.7112963,121.1807634,-3.4464723,2,18.427099227905273,0.07919400185346603,61107.21129629994
43,2461107.6703935,121.1807836,-3.4464643,1,18.472200393676758,0.0751900002360344,61107.17039350001
44,2461106.793206,121.1808752,-3.4465091,1,18.425399780273438,0.11739999800920486,61106.29320599977
46,2461106.6491088,121.1808145,-3.4464811,2,18.40049934387207,0.08089199662208557,61106.149108800106
47,2461105.7502662,121.180895,-3.4465773,3,19.043100357055664,0.1393740028142929,61105.25026619993
48,2461105.6527894,121.1808272,-3.4464465,2,18.45330047607422,0.07154999673366547,61105.15278939996
49,2461102.8018866,121.1808342,-3.4464544,1,18.34469985961914,0.131182000041008,61102.30188659998
50,2461102.7287731,121.1807563,-3.4464731,2,18.3164005279541,0.08358299732208252,61102.228773099836
51,2461102.6773032,121.1808299,-3.4465115,3,18.87179946899414,0.16693900525569916,61102.17730320012
