,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2461139.6528935,108.8845209,28.5389164,3,19.291688919067383,0.15166017413139343,61139.15289349994
1,2461137.65375,108.8845671,28.5389125,3,19.343900680541992,0.13923700153827667,61137.153750000056
2,2461135.6950579,108.8846194,28.5389436,1,19.542299270629883,0.13279500603675842,61135.19505790016
3,2461135.6598843,108.8846442,28.538928,2,19.343599319458008,0.11790800094604492,61135.15988430008
4,2461134.6516435,108.8845571,28.5388487,1,19.771699905395508,0.19277000427246094,61134.1516435002
5,2461132.7295023,108.8846124,28.5388991,2,19.325300216674805,0.2033880054950714,61132.2295022998
10,2461129.6849421,108.8846153,28.5389413,2,19.476499557495117,0.17098000645637512,61129.1849421002
11,2461129.6586111,108.8845339,28.538824,3,19.344200134277344,0.14849500358104706,61129.15861110017
14,2461121.6786227,108.8845869,28.5388692,3,19.50119972229004,0.14030200242996216,61121.17862269981
15,2461121.6565509,108.8845435,28.5388179,2,19.239900588989258,0.26838499307632446,61121.15655090008
17,2461120.6774884,108.8846242,28.5388712,3,19.562299728393555,0.1713940054178238,61120.177488400135
18,2461119.7664005,108.8845804,28.538888,1,19.825199127197266,0.15380799770355225,61119.2664005002
19,2461119.7307292,108.8845545,28.5388862,3,19.57859992980957,0.1693660020828247,61119.230729199946
20,2461119.6783449,108.884568,28.5389277,2,19.518800735473633,0.12409300357103348,61119.17834489979
21,2461118.6779398,108.8846061,28.5388988,2,19.440399169921875,0.11485199630260468,61118.17793980008
22,2461118.6548727,108.884604,28.5388937,1,19.980199813842773,0.17732000350952148,61118.154872700106
23,2461117.6786343,108.8846059,28.5389062,2,19.590700149536133,0.141526997089386,61117.1786342999
24,2461117.6593866,108.8846672,28.5388738,3,19.62529945373535,0.16790300607681274,61117.1593865999
25,2461117.6393171,108.8845433,28.538933,1,20.017900466918945,0.19282899796962738,61117.139317099936
27,2461115.6737963,108.8846087,28.5388648,2,19.459400177001953,0.1254349946975708,61115.173796299845
28,2461115.6543866,108.884586,28.5389254,1,19.97480010986328,0.21564100682735443,61115.154386600014
29,2461114.7809375,108.884573,28.5389025,3,19.45509910583496,0.1962990015745163,61114.28093749983
30,2461114.6541088,108.8845866,28.5389189,1,20.010000228881836,0.20906899869441986,61114.154108799994
31,2461114.6371412,108.8846481,28.538892,2,19.572900772094727,0.14356400072574615,61114.13714119978
33,2461113.694838,108.8846251,28.5388464,1,19.964599609375,0.16828800737857819,61113.194837999996
35,2461112.7775231,108.8845716,28.5389232,3,19.466299057006836,0.23656000196933746,61112.27752309991
36,2461112.6502083,108.884593,28.5389028,1,20.14929962158203,0.23654699325561523,61112.15020829998
37,2461112.6328935,108.884621,28.5389183,2,19.611099243164062,0.13766899704933167,61112.13289349992
38,2461111.7613657,108.8845737,28.5388835,3,19.8125,0.2387789934873581,61111.26136570005
39,2461108.7175694,108.8846026,28.5388268,1,20.307003021240234,0.21524028480052948,61108.21756940009
40,2461108.7175694,108.8846026,28.5388268,1,20.30699920654297,0.2152400016784668,61108.21756940009
41,2461108.6493634,108.8846586,28.5389342,2,19.740299224853516,0.16576999425888062,61108.14936339995
43,2461107.6498843,108.8846907,28.5389097,1,20.205699920654297,0.24065400660037994,61107.14988429984
45,2461106.6509954,108.8845809,28.5389291,2,20.08769989013672,0.23075200617313385,61106.1509953998
49,2461102.6611227,108.8845905,28.5388377,3,19.578500747680664,0.21363499760627747,61102.1611227002
52,2461101.6648264,108.8845832,28.5388575,3,19.603099822998047,0.2551479935646057,61101.16482640011
59,2461095.7550463,108.8844361,28.5389374,3,20.165199279785156,0.23247100412845612,61095.255046300124
64,2461094.6420602,108.8845203,28.5390009,2,20.522499084472656,0.3250510096549988,61094.14206020022
