,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2461195.854213,243.5986949,2.2425638,2,14.132920265197754,0.028585093095898628,61195.35421299981
1,2461195.852338,243.5986655,2.2426212,2,14.057499885559082,0.020565999671816826,61195.3523380002
2,2461195.8208912,243.5986587,2.2425946,1,15.532500267028809,0.030175000429153442,61195.3208912001
3,2461195.816169,243.5986799,2.2426096,1,15.477499961853027,0.025606999173760414,61195.31616900023
4,2461195.7895833,243.5986503,2.2426135,3,12.728500366210938,0.030883999541401863,61195.289583299775
5,2461195.7886343,243.5986937,2.2426472,3,12.760100364685059,0.0183470007032156,61195.28863430023
6,2461194.8373032,243.5987221,2.2425784,2,14.115799903869629,0.03897099941968918,61194.337303199805
7,2461194.816412,243.5986795,2.2426127,2,14.066699981689453,0.024008000269532204,61194.316411999986
8,2461194.7959722,243.5986609,2.242629,3,12.707799911499023,0.024243999272584915,61194.29597220011
9,2461194.7909838,243.5986813,2.2426324,3,12.758399963378906,0.020051000639796257,61194.290983799845
10,2461194.7664005,243.5986723,2.2426044,1,15.49429988861084,0.03179100155830383,61194.2664005002
11,2461194.7635648,243.5986803,2.2426089,1,15.47439956665039,0.03144799917936325,61194.26356479991
12,2461193.8821759,243.5986667,2.2426079,1,15.501199722290039,0.022523000836372375,61193.38217590004
13,2461193.8817014,243.5986759,2.2425979,1,15.472999572753906,0.035714998841285706,61193.38170140004
14,2461193.836412,243.5987051,2.2425855,2,14.074399948120117,0.035284001380205154,61193.336412000004
15,2461193.8160301,243.5986757,2.242624,2,14.052399635314941,0.03132599964737892,61193.31603009999
16,2461193.7487037,243.5986794,2.2426098,3,12.7121000289917,0.018742000684142113,61193.248703700025
17,2461193.7482407,243.5986647,2.2426046,3,12.721500396728516,0.03201200067996979,61193.24824069999
18,2461192.8820949,243.5986736,2.2425954,1,15.526399612426758,0.02765900082886219,61192.382094900124
19,2461192.8787847,243.5986671,2.2426052,1,15.48960018157959,0.03199800103902817,61192.37878469983
20,2461192.8157176,243.5987026,2.2425931,2,14.060500144958496,0.031314000487327576,61192.31571759982
21,2461192.7949769,243.5986694,2.2426094,2,14.084099769592285,0.026119999587535858,61192.294976899866
22,2461192.7486227,243.5986903,2.2426283,3,12.730500221252441,0.021245000883936882,61192.248622700106
23,2461192.7481481,243.5986886,2.2426171,3,12.706899642944336,0.025969000533223152,61192.248148099985
24,2461191.9276852,243.5986644,2.2426008,1,15.497300148010254,0.025648999959230423,61191.42768519977
25,2461191.9267361,243.5986789,2.2426102,1,15.49779987335205,0.02468300051987171,61191.42673610011
26,2461191.815544,243.5986763,2.2426157,2,14.106900215148926,0.02633499912917614,61191.315543999895
27,2461191.8150694,243.5987026,2.2425965,2,14.064200401306152,0.026477999985218048,61191.315069399774
28,2461191.7429398,243.5986761,2.2426078,3,12.746299743652344,0.03271999955177307,61191.242939800024
29,2461191.7429398,243.5986761,2.2426078,3,12.746299743652344,0.03271999955177307,61191.242939800024
30,2461191.736794,243.5986901,2.2426256,3,12.720600128173828,0.020865000784397125,61191.236794000026
31,2461186.9034028,243.5986756,2.2426042,1,15.486900329589844,0.030355999246239662,61186.403402800206
33,2461185.8543981,243.5986781,2.2426239,2,14.058899879455566,0.03649799898266792,61185.35439810017
34,2461185.8300694,243.5986838,2.2426099,1,15.473899841308594,0.0389459989964962,61185.330069399904
35,2461185.7616204,243.5987127,2.242628,3,12.709099769592285,0.015615000389516354,61185.26162040001
36,2461185.7611458,243.5986518,2.2426423,3,12.739500045776367,0.039785999804735184,61185.26114579989
37,2461184.8840046,243.598666,2.2426332,3,12.73270034790039,0.02906000055372715,61184.38400459988
38,2461184.8830556,243.5987029,2.2426299,3,12.711999893188477,0.017503000795841217,61184.38305559987
39,2461184.8396759,243.5986847,2.2426385,2,14.050800323486328,0.031109999865293503,61184.33967590006
40,2461184.8387384,243.5987236,2.2425931,2,14.045999526977539,0.02824999950826168,61184.33873840002
41,2461184.7743403,243.5986916,2.2426186,1,15.4753999710083,0.04158399999141693,61184.27434029989
42,2461184.7734028,243.598677,2.2425939,1,15.491600036621094,0.03643399849534035,61184.27340279985
43,2461183.9093519,243.5987368,2.2425904,2,14.18529987335205,0.04400499910116196,61183.40935190022
44,2461183.875162,243.5986884,2.2426093,3,12.670000076293945,0.02173599973320961,61183.37516199984
46,2461183.8354977,243.5986894,2.2426042,1,15.46560001373291,0.037317000329494476,61183.33549770014
47,2461183.8311343,243.5986874,2.2426064,1,15.510299682617188,0.02575800009071827,61183.33113430021
48,2461183.7849884,243.5986897,2.2426242,2,14.051400184631348,0.032159000635147095,61183.28498840006
49,2461182.8811227,243.5986886,2.2426041,1,15.456199645996094,0.023701999336481094,61182.38112269994
50,2461182.8578241,243.5986993,2.2426098,1,15.519499778747559,0.028589999303221703,61182.35782410018
52,2461182.8449884,243.5987154,2.2426582,3,12.714799880981445,0.014018000103533268,61182.34498840012
53,2461182.8020602,243.5987193,2.2426068,2,14.077500343322754,0.0347369983792305,61182.3020601999
54,2461182.7779514,243.598699,2.2426292,2,14.060700416564941,0.021606000140309334,61182.277951399796
55,2461181.9026157,243.5987112,2.2425864,2,14.18529987335205,0.03819200024008751,61181.40261569992
56,2461181.8935648,243.5986862,2.2426249,2,14.069700241088867,0.02783600054681301,61181.3935647998
57,2461181.8540394,243.5986914,2.2426128,1,15.463399887084961,0.0313740000128746,61181.354039399885
59,2461181.8126736,243.5986945,2.2426323,3,12.715800285339355,0.01254700031131506,61181.312673599925
60,2461180.8808681,243.5986929,2.242606,1,15.474699974060059,0.027823999524116516,61180.380868100096
61,2461180.868588,243.5986845,2.2426098,1,15.531900405883789,0.02487500011920929,61180.36858800007
62,2461180.8299306,243.5986939,2.242628,2,14.09000015258789,0.030000999569892883,61180.32993059978
63,2461180.8261574,243.5987118,2.2426166,2,14.06089973449707,0.03002999909222126,61180.32615739992
64,2461180.7808102,243.5986952,2.2426266,3,12.714200019836426,0.025628000497817993,61180.28081020014
65,2461180.7793866,243.5987142,2.2426539,3,12.726099967956543,0.014446999877691269,61180.279386600014
66,2461179.9026273,243.5986946,2.242621,2,14.051899909973145,0.02500399947166443,61179.402627300005
67,2461179.9016782,243.5987253,2.242587,2,14.071200370788574,0.029340999200940132,61179.40167819988
68,2461179.8589468,243.5986953,2.2425924,1,15.493000030517578,0.025731999427080154,61179.35894680023
69,2461179.8356829,243.5987017,2.2425985,1,15.498900413513184,0.029850000515580177,61179.33568290016
70,2461179.8083796,243.5987006,2.2426376,3,12.730199813842773,0.00927599985152483,61179.308379599825
71,2461179.7979167,243.5986925,2.2426097,3,12.713800430297852,0.019589999690651894,61179.29791670013
72,2461176.8969213,243.5987224,2.2425846,2,14.190600395202637,0.038359999656677246,61176.39692129986
73,2461176.8954282,243.5987011,2.2426364,2,14.053400039672852,0.02754399925470352,61176.39542819979
75,2461176.8577431,243.5987092,2.2426302,3,12.712900161743164,0.01235199999064207,61176.3577430998
76,2461176.8329514,243.5986961,2.2426255,1,15.463600158691406,0.03887299820780754,61176.33295139996
77,2461176.8151505,243.5987012,2.2426088,1,15.50409984588623,0.027401000261306763,61176.31515049981
78,2461175.9156597,243.5986902,2.2426153,1,15.463299751281738,0.04108000174164772,61175.415659700055
79,2461175.8995023,243.5987003,2.2426129,1,15.445799827575684,0.02718299999833107,61175.39950230019
81,2461175.862037,243.5987378,2.2426208,3,12.706500053405762,0.01285600010305643,61175.36203699978
82,2461175.8371759,243.5986976,2.2426209,2,14.062299728393555,0.019154999405145645,61175.33717590012
83,2461175.83,243.5987124,2.2426107,2,14.074299812316895,0.025783000513911247,61175.330000000075
84,2461174.8949884,243.5987049,2.2426192,1,15.475700378417969,0.035401999950408936,61174.39498839993
85,2461174.8935764,243.5986954,2.2426216,1,15.502699851989746,0.020781999453902245,61174.39357639989
86,2461174.8608796,243.5987105,2.2426383,2,14.048999786376953,0.03183799982070923,61174.36087960005
87,2461174.8604051,243.5987116,2.2426159,2,14.047699928283691,0.026701999828219414,61174.360405100044
88,2461174.7999074,243.5987052,2.2426288,3,12.75160026550293,0.02151699922978878,61174.29990739981
89,2461174.7984954,243.5987158,2.2426268,3,12.719900131225586,0.014194999821484089,61174.29849540023
90,2461173.9056597,243.5986874,2.2426332,3,12.725500106811523,0.019639000296592712,61173.40565969981
91,2461173.9047106,243.5987328,2.2426243,3,12.707799911499023,0.01534000039100647,61173.40471060015
92,2461173.8597338,243.5987038,2.2426022,1,15.497200012207031,0.023283999413251877,61173.35973379994
93,2461173.8404977,243.5987046,2.2426144,1,15.514800071716309,0.029777999967336655,61173.34049770003
94,2461173.8167477,243.5987153,2.2425981,2,14.067999839782715,0.02529199980199337,61173.316747699864
95,2461173.8068287,243.59871,2.2426387,2,14.057900428771973,0.0282639991492033,61173.306828700006
96,2461172.9216898,243.5987122,2.2426339,2,14.053799629211426,0.02948700077831745,61172.42168979999
97,2461172.9212153,243.5986975,2.2426089,2,14.079400062561035,0.030504999682307243,61172.42121529998
99,2461172.9079282,243.5987056,2.2426445,3,12.712400436401367,0.014282000251114368,61172.40792819997
100,2461172.8599306,243.5986999,2.2426159,1,15.492400169372559,0.02742600068449974,61172.35993060004
101,2461172.858044,243.5987022,2.2426135,1,15.47070026397705,0.03588400036096573,61172.35804399988
102,2461171.9283102,243.5987461,2.2425904,2,14.183300018310547,0.037999000400304794,61171.428310200106
104,2461171.881331,243.5987006,2.2426548,3,12.700400352478027,0.016535000875592232,61171.38133100001
105,2461171.8610417,243.5987019,2.242612,1,15.503199577331543,0.02481199987232685,61171.3610417
106,2461171.8591551,243.598711,2.2426178,1,15.478599548339844,0.0266100000590086,61171.35915509984
