,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2461134.8405671,139.5369119,-5.6258958,1,18.115312576293945,0.18873892724514008,61134.34056709986
1,2461134.8367593,139.5368677,-5.626239,2,18.226770401000977,0.14039990305900574,61134.33675929997
2,2461132.8193634,139.5366168,-5.6258614,1,18.222000122070312,0.18006500601768494,61132.319363399874
4,2461132.7931366,139.5365724,-5.6260406,3,17.495899200439453,0.11294499784708023,61132.29313659994
6,2461125.8226968,139.5365955,-5.6260634,1,18.24850082397461,0.12662099301815033,61125.32269679988
7,2461125.7652778,139.5365549,-5.6260049,3,17.48080062866211,0.06718099862337112,61125.26527780015
9,2461124.8621296,139.5365138,-5.6259704,3,17.911300659179688,0.06866700202226639,61124.36212959979
11,2461124.7983449,139.5367042,-5.6259591,1,17.993499755859375,0.0968720018863678,61124.2983448999
12,2461124.7983449,139.5366213,-5.6260067,1,17.98819923400879,0.06382700055837631,61124.2983448999
14,2461123.8208796,139.5365559,-5.626055,3,17.943700790405273,0.10003100335597992,61123.32087960001
17,2461122.8092824,139.536619,-5.6260105,1,17.857999801635742,0.0737840011715889,61122.30928240018
19,2461122.6824074,139.536539,-5.6260528,3,17.707199096679688,0.06791199743747711,61122.182407400105
23,2461119.797419,139.53656,-5.6260267,3,18.18950080871582,0.11578100174665451,61119.29741899995
28,2461117.8404745,139.5365939,-5.6261049,1,18.488399505615234,0.13442300260066986,61117.340474499855
30,2461116.7414699,139.5365898,-5.6260389,3,17.871599197387695,0.09713999927043915,61116.241469900124
35,2461114.7967245,139.5365483,-5.6260303,3,17.659400939941406,0.08359400182962418,61114.296724500135
36,2461113.7917708,139.5365635,-5.6260596,3,17.782400131225586,0.13104000687599182,61113.29177080002
40,2461112.7603356,139.5365401,-5.6260585,3,17.846599578857422,0.07763099670410156,61112.2603356
43,2461108.7821875,139.5365498,-5.6259855,3,17.765300750732422,0.11811800301074982,61108.28218750004
44,2461108.7501968,139.5365943,-5.6261669,1,18.139400482177734,0.12022200226783752,61108.2501968001
46,2461107.8284491,139.5365604,-5.6259235,3,17.40290069580078,0.0977490022778511,61107.32844909979
48,2461107.7533218,139.5365847,-5.6259479,1,18.041400909423828,0.131632000207901,61107.253321799915
50,2461106.7843171,139.5365393,-5.6260711,3,17.558700561523438,0.07814499735832214,61106.284317099955
51,2461106.693831,139.5366006,-5.626044,1,17.717100143432617,0.08285800367593765,61106.19383100001
