,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2461167.7016319,139.9302143,12.8465105,2,19.87701988220215,0.2066802829504013,61167.20163189992
3,2461162.6721991,139.9303242,12.8467363,1,19.72920036315918,0.33370500802993774,61162.17219909979
7,2461159.7346759,139.930289,12.8467132,2,19.46660041809082,0.30446600914001465,61159.23467590008
9,2461150.6727894,139.9302454,12.8466468,2,19.11829948425293,0.10512000322341919,61150.17278939998
10,2461150.6560764,139.9302751,12.8466981,1,19.06290054321289,0.11316999793052673,61150.156076400075
11,2461149.6550463,139.9302878,12.8466827,1,18.994600296020508,0.13166899979114532,61149.15504630003
12,2461147.7846875,139.9303036,12.8466277,2,19.087299346923828,0.12513799965381622,61147.28468749998
13,2461146.7541551,139.9302833,12.8467017,1,18.94379997253418,0.1305769979953766,61146.25415509986
14,2461146.6722569,139.9302756,12.8466445,3,19.59429931640625,0.23198600113391876,61146.1722569
15,2461145.665463,139.9302658,12.8466076,3,19.39859962463379,0.1998859941959381,61145.16546300007
16,2461140.7132755,139.9302727,12.8467178,1,19.276899337768555,0.10968899726867676,61140.21327550011
17,2461140.703669,139.9302598,12.8466824,3,20.03380012512207,0.30149000883102417,61140.20366899995
18,2461139.7160417,139.9302608,12.8467136,1,19.389400482177734,0.13682399690151215,61139.21604169998
19,2461139.6711227,139.9302674,12.8466521,2,19.496999740600586,0.13234899938106537,61139.171122699976
20,2461139.6633333,139.9302787,12.8466184,3,19.79170036315918,0.26295700669288635,61139.163333300035
23,2461138.6503125,139.9302377,12.8466235,2,19.65290069580078,0.16850599646568298,61138.150312500075
24,2461137.726713,139.930268,12.8466589,1,19.669200897216797,0.1252949982881546,61137.226712999865
25,2461137.6713889,139.9302214,12.8466502,2,19.94580078125,0.17857299745082855,61137.17138889991
28,2461135.6693981,139.9301938,12.8466006,2,20.10409927368164,0.17880399525165558,61135.169398100115
