,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2461182.8959606,276.6292588,10.2411488,1,20.374250411987305,0.1917218714952469,61182.395960600115
3,2461181.9430671,276.629148,10.2411288,1,20.246400833129883,0.2033279985189438,61181.4430670999
5,2461180.8949537,276.6291935,10.2410849,1,20.174800872802734,0.209523007273674,61180.39495369978
8,2461179.8732292,276.6292484,10.2411405,1,20.10379981994629,0.21910899877548218,61179.37322920002
9,2461176.958588,276.6292522,10.2411295,1,19.809799194335938,0.15732499957084656,61176.45858799992
13,2461175.9084838,276.6292276,10.2411486,1,19.82080078125,0.14693500101566315,61175.40848380001
14,2461174.9259144,276.6292252,10.2411335,3,19.68709945678711,0.173908993601799,61174.42591439979
15,2461174.9102315,276.6291935,10.2411065,1,19.654300689697266,0.1483840048313141,61174.41023149993
16,2461173.9545602,276.6291441,10.2411437,2,19.738300323486328,0.11994799971580505,61173.45456020022
17,2461173.9085995,276.6291979,10.2411162,3,19.66390037536621,0.14795400202274323,61173.40859950008
18,2461173.8827662,276.6292311,10.2411345,1,19.532800674438477,0.13042199611663818,61173.38276620023
19,2461172.9149884,276.6291801,10.2411284,3,19.62540054321289,0.1656070053577423,61172.41498839995
20,2461172.8889236,276.6292058,10.2411377,1,19.367700576782227,0.11301600188016891,61172.38892359985
21,2461171.9586343,276.6291624,10.2411009,2,19.431499481201172,0.1267399936914444,61171.45863430016
22,2461171.8879398,276.6292144,10.2411466,3,19.513700485229492,0.20085999369621277,61171.38793980004
23,2461171.869838,276.6292063,10.2411117,1,19.284400939941406,0.11070799827575684,61171.36983799981
24,2461170.9643287,276.6291832,10.2411374,1,19.170299530029297,0.12158100306987762,61170.46432870021
25,2461170.8792477,276.6291866,10.2411205,3,19.377300262451172,0.1503410041332245,61170.379247699864
26,2461169.9429282,276.6291518,10.2411122,2,19.11910057067871,0.1229420006275177,61169.44292820012
27,2461169.8841204,276.6291977,10.2411049,1,19.001300811767578,0.1025329977273941,61169.384120400064
28,2461169.8436921,276.6291733,10.2411201,3,19.258899688720703,0.15381300449371338,61169.34369210014
29,2461168.9662153,276.6291791,10.241122,3,19.0531005859375,0.12091600149869919,61168.46621529991
30,2461168.9426389,276.629139,10.241084,1,18.828500747680664,0.10974500328302383,61168.44263890013
31,2461168.8870255,276.6291799,10.241057,2,18.954999923706055,0.13499300181865692,61168.38702550018
32,2461167.961169,276.629162,10.2411307,2,18.716899871826172,0.14574599266052246,61167.461168999784
33,2461167.8998611,276.6291843,10.2410811,3,18.95490074157715,0.16426099836826324,61167.39986110013
34,2461167.857338,276.6291555,10.2411363,1,18.74489974975586,0.14176000654697418,61167.35733800009
