,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2461195.7944329,228.876467,-14.5035316,1,18.065515518188477,0.07267160713672638,61195.294432899915
1,2461195.7735532,228.8764609,-14.5035695,3,17.809799194335938,0.06537199765443802,61195.273553200066
2,2461194.8202199,228.8764556,-14.5035519,2,17.709999084472656,0.0508200004696846,61194.32021989999
3,2461194.7929977,228.8764614,-14.5035416,3,17.802200317382812,0.07580800354480743,61194.29299770016
4,2461194.7706366,228.8764233,-14.5035512,1,18.104999542236328,0.0854479968547821,61194.27063659998
5,2461193.7967593,228.8764613,-14.5035293,2,17.734399795532227,0.05896399915218353,61193.296759299934
6,2461193.7274306,228.8764376,-14.5035264,1,18.078899383544922,0.06901899725198746,61193.22743060021
7,2461192.8802083,228.8764758,-14.5034856,1,18.04840087890625,0.09503600001335144,61192.38020829996
8,2461192.7935648,228.8764653,-14.5035581,2,17.72450065612793,0.055456001311540604,61192.29356480017
9,2461185.8357407,228.8764513,-14.5035659,2,18.169599533081055,0.07687400281429291,61185.3357406999
10,2461185.8136806,228.8764314,-14.503562,1,18.30769920349121,0.0730300024151802,61185.31368059991
12,2461184.8797569,228.8764633,-14.5035481,3,18.37540054321289,0.0914900004863739,61184.379756900016
13,2461184.8797569,228.8764633,-14.5035481,3,18.37540054321289,0.0914900004863739,61184.379756900016
14,2461184.7790625,228.8764622,-14.5035353,1,18.516700744628906,0.0890669971704483,61184.27906250022
15,2461183.8577315,228.8764514,-14.5035815,3,18.471500396728516,0.11284500360488892,61183.357731500175
16,2461183.8335069,228.8764671,-14.5035447,1,18.5851993560791,0.0805559977889061,61183.333506899886
17,2461183.7906481,228.8764483,-14.50357,2,18.350299835205078,0.06853599846363068,61183.290648099966
18,2461181.8777662,228.8764578,-14.5035576,2,18.53809928894043,0.07217500358819962,61181.377766199876
19,2461181.836875,228.8764661,-14.5035148,1,18.739299774169922,0.08597400039434433,61181.33687500004
20,2461181.8146296,228.8764398,-14.5035637,3,18.638399124145508,0.12514300644397736,61181.31462959992
21,2461180.8551968,228.8765013,-14.503566,1,18.839799880981445,0.11300099641084671,61180.35519680008
22,2461180.8137153,228.8764568,-14.5035525,2,18.632400512695312,0.094821996986866,61180.31371530006
23,2461180.7902199,228.8764938,-14.5035712,3,18.75510025024414,0.13247400522232056,61180.2902199002
24,2461179.7524884,228.8764922,-14.5036005,2,18.746200561523438,0.14372499287128448,61179.252488399856
25,2461176.8405903,228.8764444,-14.5035649,3,18.900800704956055,0.1613830029964447,61176.34059030004
26,2461176.8113079,228.8764734,-14.5035343,1,18.74220085144043,0.06633400171995163,61176.31130790012
27,2461175.8783218,228.8764667,-14.5035252,1,19.048599243164062,0.10885199904441833,61175.378321799915
28,2461175.8139699,228.8764858,-14.5035213,2,19.37779998779297,0.10994099825620651,61175.3139698999
