,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2461194.6915394,219.3175511,14.7125822,2,19.208126068115234,0.115599624812603,61194.19153939979
1,2461193.8278241,219.3175578,14.7126065,2,19.072500228881836,0.11879099905490875,61193.32782409992
2,2461193.7449421,219.3174878,14.7125355,3,19.476600646972656,0.2062849998474121,61193.24494209979
3,2461193.7067708,219.3176577,14.7126412,1,19.350299835205078,0.1425199955701828,61193.206770800054
4,2461192.7767014,219.317493,14.7125653,2,19.22960090637207,0.14937500655651093,61192.27670140006
5,2461192.7443866,219.317624,14.7125856,3,19.535200119018555,0.25156399607658386,61192.244386599865
6,2461192.7147917,219.317648,14.7126223,1,19.14389991760254,0.1711380034685135,61192.21479169978
7,2461191.8039583,219.3176013,14.7126071,2,19.09119987487793,0.1471710056066513,61191.303958300035
8,2461191.7349074,219.3175201,14.7125709,3,19.377099990844727,0.2612450122833252,61191.23490739986
9,2461191.7081944,219.3176119,14.7126242,1,19.346599578857422,0.20204100012779236,61191.208194400184
10,2461185.8400116,219.3175875,14.7126089,2,19.180099487304688,0.12651899456977844,61185.34001159994
11,2461185.8083796,219.3176051,14.7126399,1,19.461999893188477,0.14441099762916565,61185.308379599825
12,2461185.7587847,219.3175345,14.7125578,3,19.474000930786133,0.17929300665855408,61185.258784700185
13,2461184.7776389,219.3176454,14.7126435,1,19.597000122070312,0.16961699724197388,61184.277638900094
14,2461183.8681134,219.3175437,14.7126218,3,19.639299392700195,0.19718299806118011,61183.36811339995
15,2461183.8159028,219.3176266,14.7126784,1,19.74810028076172,0.1514589935541153,61183.31590279983
16,2461183.7753356,219.3175288,14.7126443,2,19.524499893188477,0.16790199279785156,61183.275335600134
17,2461182.8606597,219.3175661,14.7125647,1,19.822900772094727,0.17745499312877655,61182.36065969989
19,2461182.7760532,219.3175804,14.7126083,2,19.831300735473633,0.1546120047569275,61182.27605320001
20,2461181.8415972,219.3176188,14.7126815,1,20.072099685668945,0.1467610001564026,61181.341597199906
22,2461181.7744792,219.3175587,14.7126108,2,19.994400024414062,0.1664779931306839,61181.27447920013
23,2461180.8580556,219.3175818,14.7126872,1,20.098899841308594,0.23402999341487885,61180.358055599965
24,2461180.8170486,219.3175598,14.7125639,2,20.10569953918457,0.17886899411678314,61180.31704859994
25,2461180.777037,219.3174992,14.7124969,3,19.9158992767334,0.28728801012039185,61180.27703699982
